complex_id,stop_name,georeference,borough,num_art_pieces
133,"Atlantic Av","POINT (-73.903097 40.675345)",Bk,0
70,"Bay 50 St","POINT (-73.983765 40.588841)",Bk,0
39,"Bay Ridge-95 St","POINT (-74.030876 40.616622)",Bk,0
512,"Bay Terrace","POINT (-74.136907 40.5564)",SI,0
443,"Baychester Av","POINT (-73.838591 40.878663)",Bx,0
202,"Beach 105 St","POINT (-73.827559 40.583209)",Q,0
200,"Beach 90 St","POINT (-73.813641 40.588034)",Q,0
211,"Bedford Park Blvd","POINT (-73.887138 40.873244)",Bx,0
289,"Bedford-Nostrand Avs","POINT (-73.953522 40.689627)",Bk,0
339,"Bergen St","POINT (-73.975098 40.680829)",Bk,0
236,"Bergen St","POINT (-73.990862 40.686145)",Bk,0
357,"Beverly Rd","POINT (-73.948959 40.645098)",Bk,0
626,"Botanic Garden","POINT (-73.959245 40.670343)",Bk,0
103,Bowery,"POINT (-73.993915 40.72028)",M,0
414,"Bowling Green","POINT (-74.014065 40.704817)",M,0
258,Briarwood,"POINT (-73.820574 40.709179)",Q,0
199,"Broad Channel","POINT (-73.815925 40.608382)",Q,0
107,"Broad St","POINT (-74.011056 40.706476)",M,0
286,Broadway,"POINT (-73.950308 40.706092)",Bk,0
425,"Bronx Park East","POINT (-73.868457 40.848828)",Bx,0
376,"Brook Av","POINT (-73.91924 40.807566)",Bx,0
131,"Bushwick Av-Aberdeen St","POINT (-73.905249 40.682829)",Bk,0
325,"Canal St","POINT (-74.006277 40.722854)",M,0
138,"Canarsie-Rockaway Pkwy","POINT (-73.90185 40.646654)",Bk,0
237,"Carroll St","POINT (-73.995048 40.680303)",Bk,0
308,"Cathedral Pkwy (110 St)","POINT (-73.966847 40.803967)",M,0
327,"Chambers St","POINT (-74.009266 40.715478)",M,0
622,"Chambers St","POINT (-74.003401 40.713243)",M,0
323,"Christopher St-Stonewall","POINT (-74.002906 40.733422)",M,0
243,"Church Av","POINT (-73.979678 40.644041)",Bk,0
44,"Church Av","POINT (-73.962982 40.650527)",Bk,0
20,"City Hall","POINT (-74.006978 40.713282)",M,0
290,"Classon Av","POINT (-73.96007 40.688873)",Bk,0
504,Clifton,"POINT (-74.071402 40.621319)",SI,0
291,"Clinton-Washington Avs","POINT (-73.966839 40.688089)",Bk,0
177,"Clinton-Washington Avs","POINT (-73.965838 40.683263)",Bk,0
606,"Court Sq-23 St","POINT (-73.946 40.747846)",Q,0
620,"Court St","POINT (-73.991777 40.6941)",Bk,0
375,"Cypress Av","POINT (-73.914042 40.805368)",Bx,0
127,"DeKalb Av","POINT (-73.918425 40.703811)",Bk,0
625,"Delancey St-Essex St","POINT (-73.987437 40.718315)",M,0
507,"Dongan Hills","POINT (-74.09609 40.588849)",SI,0
144,"Dyckman St","POINT (-73.927271 40.865491)",M,0
374,"E 143 St-St Mary's St","POINT (-73.907657 40.808719)",Bx,0
137,"East 105 St","POINT (-73.899485 40.650573)",Bk,0
234,"East Broadway","POINT (-73.990173 40.713715)",M,0
442,"Eastchester-Dyre Av","POINT (-73.830834 40.8883)",Bx,0
266,"Elmhurst Av","POINT (-73.882017 40.742454)",Q,0
514,Eltingville,"POINT (-74.16457 40.544601)",SI,0
188,"Euclid Av","POINT (-73.872106 40.675377)",Bk,0
287,"Flushing Av","POINT (-73.950234 40.700377)",Bk,0
213,"Fordham Rd","POINT (-73.897749 40.861296)",Bx,0
261,"Forest Hills-71 Av","POINT (-73.844521 40.721691)",Q,0
242,"Fort Hamilton Pkwy","POINT (-73.975776 40.650782)",Bk,0
326,"Franklin St","POINT (-74.006886 40.719318)",M,0
292,"Fulton St","POINT (-73.975375 40.687119)",Bk,0
122,"Graham Av","POINT (-73.944053 40.714565)",Bk,0
265,"Grand Av-Newtown","POINT (-73.877223 40.737015)",Q,0
231,"Grand St","POINT (-73.993753 40.718267)",M,0
189,"Grant Av","POINT (-73.86505 40.677044)",Bk,0
509,"Grant City","POINT (-74.109704 40.578965)",SI,0
505,Grasmere,"POINT (-74.084087 40.603117)",SI,0
513,"Great Kills","POINT (-74.151399 40.551231)",SI,0
283,"Greenpoint Av","POINT (-73.954449 40.731352)",Bk,0
129,"Halsey St","POINT (-73.904084 40.695602)",Q,0
436,"Harlem-148 St","POINT (-73.93647 40.82388)",M,0
173,"High St","POINT (-73.990531 40.699337)",Bk,0
198,"Howard Beach-JFK Airport","POINT (-73.830301 40.660476)",Q,0
336,"Hoyt St","POINT (-73.985065 40.690545)",Bk,0
175,"Hoyt-Schermerhorn Sts","POINT (-73.985001 40.688484)",Bk,0
516,Huguenot,"POINT (-74.191794 40.533674)",SI,0
371,"Hunts Point Av","POINT (-73.890549 40.820948)",Bx,0
433,"Jackson Av","POINT (-73.907807 40.81649)",Bx,0
616,"Jackson Hts-Roosevelt Av","POINT (-73.891338 40.746644)",Q,0
278,"Jamaica Center-Parsons/Archer","POINT (-73.801109 40.702147)",Q,0
254,"Jamaica-179 St","POINT (-73.783817 40.712646)",Q,0
280,"Jamaica-Van Wyck","POINT (-73.816859 40.702566)",Q,0
508,"Jefferson Av","POINT (-74.103338 40.583591)",SI,0
126,"Jefferson St","POINT (-73.922913 40.706607)",Bk,0
451,"Junction Blvd","POINT (-73.869527 40.749145)",Q,0
259,"Kew Gardens-Union Tpke","POINT (-73.831008 40.714441)",Q,0
77,"Kings Hwy","POINT (-73.980353 40.603923)",Bk,0
212,"Kingsbridge Rd","POINT (-73.893509 40.866978)",Bx,0
344,"Kingston Av","POINT (-73.942161 40.669399)",Bk,0
180,"Kingston-Throop Avs","POINT (-73.940858 40.679921)",Bk,0
176,"Lafayette Av","POINT (-73.973946 40.686113)",Bk,0
612,"Lexington Av/53 St","POINT (-73.969055 40.757552)",M,0
223,"Lexington Av/63 St","POINT (-73.966113 40.764629)",M,0
185,"Liberty Av","POINT (-73.896548 40.674542)",Bk,0
372,"Longwood Av","POINT (-73.896435 40.816104)",Bx,0
296,"Marble Hill-225 St","POINT (-73.909831 40.874561)",M,0
448,"Mets-Willets Point","POINT (-73.845625 40.754622)",Q,0
108,"Middle Village-Metropolitan Av","POINT (-73.889601 40.711396)",Q,0
124,"Montrose Av","POINT (-73.93985 40.707739)",Bk,0
125,"Morgan Av","POINT (-73.933147 40.706152)",Bk,0
446,"Morris Park","POINT (-73.860495 40.854364)",Bx,0
288,"Myrtle-Willoughby Avs","POINT (-73.949046 40.694568)",Bk,0
284,"Nassau Av","POINT (-73.951277 40.724635)",Bk,0
510,"New Dorp","POINT (-74.11721 40.57348)",SI,0
352,"New Lots Av","POINT (-73.884079 40.666235)",Bk,0
358,"Newkirk Av-Little Haiti","POINT (-73.948411 40.639967)",Bk,0
47,"Newkirk Plaza","POINT (-73.962793 40.635082)",Bk,0
269,"Northern Blvd","POINT (-73.906006 40.752885)",Q,0
210,"Norwood-205 St","POINT (-73.878855 40.874811)",Bx,0
343,"Nostrand Av","POINT (-73.950466 40.669847)",Bk,0
179,"Nostrand Av","POINT (-73.950426 40.680438)",Bk,0
511,"Oakwood Heights","POINT (-74.12632 40.56511)",SI,0
506,"Old Town","POINT (-74.087368 40.596612)",SI,0
195,"Ozone Park-Lefferts Blvd","POINT (-73.825798 40.685951)",Q,0
256,"Parsons Blvd","POINT (-73.803326 40.707564)",Q,0
360,"Pelham Bay Park","POINT (-73.828121 40.852462)",Bx,0
518,"Pleasant Plains","POINT (-74.217847 40.52241)",SI,0
353,"President St-Medgar Evers College","POINT (-73.950683 40.667883)",Bk,0
517,"Prince's Bay","POINT (-74.200064 40.525507)",SI,0
432,"Prospect Av","POINT (-73.90177 40.819585)",Bx,0
273,"Queens Plaza","POINT (-73.937243 40.748973)",Q,0
182,"Ralph Av","POINT (-73.920786 40.678822)",Bk,0
22,"Rector St","POINT (-74.013342 40.70722)",M,0
329,"Rector St","POINT (-74.013783 40.707513)",M,0
519,"Richmond Valley","POINT (-74.229141 40.519631)",SI,0
183,"Rockaway Av","POINT (-73.911946 40.67834)",Bk,0
203,"Rockaway Park-Beach 116 St","POINT (-73.835592 40.580903)",Q,0
187,"Shepherd Av","POINT (-73.88075 40.67413)",Bk,0
430,"Simpson St","POINT (-73.893064 40.824073)",Bx,0
238,"Smith-9 Sts","POINT (-73.995959 40.67358)",Bk,0
168,"Spring St","POINT (-74.003739 40.726227)",M,0
409,"Spring St","POINT (-73.997141 40.722301)",M,0
501,"St George","POINT (-74.073643 40.643748)",SI,0
503,Stapleton,"POINT (-74.075162 40.627915)",SI,0
271,"Steinway St","POINT (-73.92074 40.756879)",Q,0
354,"Sterling St","POINT (-73.95085 40.662742)",Bk,0
257,"Sutphin Blvd","POINT (-73.810708 40.70546)",Q,0
279,"Sutphin Blvd-Archer Av-JFK Airport","POINT (-73.807969 40.700486)",Q,0
502,Tompkinsville,"POINT (-74.074835 40.636949)",SI,0
522,Tottenville,"POINT (-74.251961 40.512764)",SI,0
